index,rank,crowding_dist,K,n_active_features,active_feature_names,f1_TWCV,f2_Connectivity,f3_N_Features,mask_RMS,mask_Kurtosis,mask_Skewness,mask_CrestFactor,mask_PeakToPeak,mask_StdDev,mask_SpectralCentroid
65,0,0.0066,10,6,RMS|Kurtosis|Skewness|CrestFactor|StdDev|SpectralCentroid,65920.7037,3296.1127,6,0.9280,0.5839,0.8591,0.5826,0.3738,0.9017,0.7063
66,0,0.0066,3,3,Kurtosis|StdDev|SpectralCentroid,201294.8324,126.6028,3,0.0114,0.5495,0.2672,0.0617,0.1358,0.8201,0.8867
67,0,0.0066,9,4,Kurtosis|Skewness|StdDev|SpectralCentroid,81137.2478,2728.5437,4,0.4296,0.5602,0.6472,0.2674,0.3108,0.9435,0.7168
68,0,0.0065,3,4,RMS|Kurtosis|CrestFactor|PeakToPeak,151715.9252,786.7476,4,0.9602,0.5918,0.1351,0.7447,0.8537,0.3453,0.0719
69,0,0.0065,10,3,Kurtosis|StdDev|SpectralCentroid,77137.4340,4517.0282,3,0.3626,0.6639,0.2426,0.2523,0.3248,0.8221,0.6016
70,0,0.0064,4,2,Kurtosis|StdDev,133781.0510,1050.7806,2,0.1948,0.5036,0.4780,0.0734,0.3623,0.7566,0.4782
71,0,0.0064,9,5,RMS|Kurtosis|Skewness|StdDev|SpectralCentroid,93508.4818,2021.6302,5,0.9477,0.6747,0.7980,0.3999,0.2748,0.9165,0.5282
72,0,0.0064,8,5,RMS|Kurtosis|Skewness|StdDev|SpectralCentroid,94837.7398,1860.5571,5,0.9453,0.6004,0.7714,0.2196,0.1132,0.8961,0.7674
73,0,0.0063,3,5,Kurtosis|Skewness|CrestFactor|PeakToPeak|StdDev,158971.1011,717.2091,5,0.0013,0.6999,0.7029,0.5850,0.9439,0.9410,0.0075
74,0,0.0061,10,4,Kurtosis|Skewness|StdDev|SpectralCentroid,61279.3537,4620.5198,4,0.3447,0.6260,0.5222,0.1291,0.1880,0.8964,0.5712
75,0,0.0061,6,5,Kurtosis|CrestFactor|PeakToPeak|StdDev|SpectralCentroid,111944.4125,1477.2056,5,0.2246,0.5117,0.4599,0.8873,0.5359,0.7437,0.5778
76,0,0.0061,5,3,Kurtosis|StdDev|SpectralCentroid,125901.8091,1161.0425,3,0.2321,0.5102,0.0773,0.3021,0.2933,0.7444,0.6108
77,0,0.0060,10,3,Kurtosis|StdDev|SpectralCentroid,72818.6751,5493.7571,3,0.4365,0.6376,0.3176,0.2664,0.2592,0.7877,0.6087
78,0,0.0060,2,2,StdDev|SpectralCentroid,215994.9229,16.3488,2,0.2360,0.2074,0.2917,0.2901,0.2481,0.5759,0.4944
79,0,0.0060,10,7,RMS|Kurtosis|Skewness|CrestFactor|PeakToPeak|StdDev|SpectralCentroid,78199.5375,2433.8321,7,0.8999,0.6542,0.6225,0.8064,0.6296,0.9925,0.5979
80,0,0.0059,4,3,Kurtosis|CrestFactor|StdDev,147850.6397,920.5774,3,0.1993,0.5078,0.4416,0.8422,0.3618,0.7749,0.1408
81,0,0.0058,6,5,Kurtosis|CrestFactor|PeakToPeak|StdDev|SpectralCentroid,112657.3005,1429.0560,5,0.2246,0.5117,0.4991,0.8873,0.5359,0.7437,0.5778
82,0,0.0058,5,3,Kurtosis|StdDev|SpectralCentroid,132099.7915,987.1032,3,0.2245,0.5905,0.4782,0.3668,0.4795,0.7444,0.6023
83,0,0.0057,3,2,Kurtosis|StdDev,195326.7146,179.1913,2,0.3148,0.6159,0.2180,0.1072,0.4153,0.6553,0.4681
84,0,0.0057,10,3,Kurtosis|StdDev|SpectralCentroid,72184.3893,5547.8433,3,0.4050,0.6625,0.3376,0.2760,0.2007,0.9092,0.6647
85,0,0.0056,6,3,Kurtosis|StdDev|SpectralCentroid,124675.6676,1302.9603,3,0.2245,0.5089,0.4848,0.3128,0.3611,0.7581,0.6127
86,0,0.0056,10,4,Kurtosis|Skewness|StdDev|SpectralCentroid,64855.3755,4193.0766,4,0.2904,0.9892,0.6892,0.2145,0.3597,0.8909,0.6145
87,0,0.0055,5,4,Kurtosis|CrestFactor|StdDev|SpectralCentroid,115924.3659,1323.3313,4,0.0355,0.5407,0.3131,0.9116,0.3097,0.7810,0.6364
88,0,0.0055,10,4,Kurtosis|Skewness|StdDev|SpectralCentroid,67614.6371,3891.8567,4,0.2903,0.9296,0.6930,0.2406,0.3597,0.8909,0.5916
89,0,0.0054,3,4,Kurtosis|CrestFactor|StdDev|SpectralCentroid,184211.9626,231.4810,4,0.0116,0.5255,0.2171,0.6447,0.0181,0.8021,0.9016
90,0,0.0054,10,3,Kurtosis|StdDev|SpectralCentroid,70078.8795,6261.9952,3,0.3837,0.6377,0.3314,0.3218,0.2314,0.7960,0.6085
91,0,0.0054,2,2,StdDev|SpectralCentroid,215026.8362,47.6500,2,0.3310,0.1147,0.3642,0.0635,0.2578,0.8052,0.5804
92,0,0.0053,5,3,Kurtosis|StdDev|SpectralCentroid,119694.9087,1520.3869,3,0.1947,0.5059,0.3119,0.0687,0.3605,0.7438,0.6364
93,0,0.0053,8,2,Kurtosis|StdDev,103413.4607,4369.0008,2,0.2075,0.9194,0.4882,0.1816,0.3200,0.8293,0.3624
94,0,0.0052,10,3,Kurtosis|StdDev|SpectralCentroid,70147.0049,6164.4298,3,0.3412,0.5580,0.2785,0.2144,0.2497,0.8806,0.5255
95,0,0.0052,10,4,Kurtosis|Skewness|StdDev|SpectralCentroid,79450.3482,2903.1183,4,0.4411,0.6130,0.6468,0.2667,0.1466,0.7882,0.5845
96,0,0.0051,6,4,Kurtosis|PeakToPeak|StdDev|SpectralCentroid,109436.6986,1530.3794,4,0.2277,0.5088,0.4346,0.2571,0.5603,0.6543,0.5774
97,0,0.0051,5,3,Kurtosis|StdDev|SpectralCentroid,128368.7497,1113.2464,3,0.2245,0.5089,0.4782,0.3607,0.2236,0.7444,0.6108
98,0,0.0051,5,3,Kurtosis|StdDev|SpectralCentroid,117723.4133,1729.2857,3,0.2247,0.5089,0.4360,0.2787,0.2939,0.7815,0.6108
99,0,0.0051,10,4,Kurtosis|Skewness|StdDev|SpectralCentroid,64146.1143,4599.5270,4,0.2903,0.9612,0.6572,0.2764,0.3683,0.9115,0.5916
100,0,0.0050,3,2,Kurtosis|StdDev,188326.4197,277.6544,2,0.2537,0.5161,0.3751,0.1081,0.1298,0.8682,0.1034
101,0,0.0050,4,5,RMS|Kurtosis|CrestFactor|StdDev|SpectralCentroid,143252.2601,833.4595,5,0.7773,0.5779,0.4039,0.5569,0.3731,0.7745,0.5088
102,0,0.0050,3,2,Kurtosis|StdDev,180108.8365,420.9690,2,0.2558,0.6767,0.0688,0.0331,0.3077,0.7518,0.1063
103,0,0.0050,10,2,Kurtosis|StdDev,84222.4930,8799.7282,2,0.3710,0.5667,0.4876,0.1516,0.2329,0.5802,0.3647
104,0,0.0048,3,2,Kurtosis|StdDev,204347.4012,127.5639,2,0.0037,0.5495,0.2672,0.0273,0.1358,0.8201,0.4780
105,0,0.0048,10,5,Kurtosis|Skewness|PeakToPeak|StdDev|SpectralCentroid,84992.0358,2274.5722,5,0.1590,0.5882,0.7994,0.2227,0.7345,0.9874,0.7207
106,0,0.0048,9,3,Kurtosis|StdDev|SpectralCentroid,88292.7350,3732.3778,3,0.1633,0.5160,0.3210,0.1312,0.4146,0.7842,0.6878
107,0,0.0047,10,4,RMS|Kurtosis|Skewness|SpectralCentroid,78678.8233,2958.2155,4,0.9518,0.6717,0.7820,0.4104,0.3424,0.0617,0.5714
108,0,0.0047,3,3,Kurtosis|StdDev|SpectralCentroid,186808.4971,266.2206,3,0.0126,0.5161,0.2636,0.1081,0.1123,0.8683,0.8869
109,0,0.0047,6,4,Kurtosis|PeakToPeak|StdDev|SpectralCentroid,109969.9383,1516.7821,4,0.2454,0.5117,0.4998,0.1085,0.5603,0.7710,0.5779
110,0,0.0047,4,2,Kurtosis|StdDev,127856.8747,1271.8587,2,0.0781,0.4832,0.3984,0.0122,0.3659,0.8769,0.3829
111,0,0.0047,3,2,Kurtosis|StdDev,179816.4135,444.8131,2,0.2558,0.6720,0.0688,0.0307,0.3077,0.7518,0.4592
112,0,0.0046,9,2,Kurtosis|StdDev,100399.6974,4939.1734,2,0.3217,0.7556,0.2621,0.1974,0.3518,0.7832,0.3091
113,0,0.0046,3,2,Kurtosis|StdDev,203745.3601,128.8254,2,0.0168,0.6782,0.2672,0.0273,0.1358,0.8201,0.4780
114,0,0.0046,10,7,RMS|Kurtosis|Skewness|CrestFactor|PeakToPeak|StdDev|SpectralCentroid,57330.9422,3929.9444,7,0.9096,0.6820,0.8731,0.7229,0.7664,0.9140,0.5324
115,0,0.0046,10,6,RMS|Kurtosis|Skewness|PeakToPeak|StdDev|SpectralCentroid,76171.6960,2480.3147,6,0.9179,0.6748,0.6006,0.4029,0.7578,0.9988,0.5747
116,0,0.0045,3,2,Kurtosis|StdDev,207600.5143,118.4798,2,0.3312,0.6768,0.2241,0.0563,0.3085,0.7512,0.3999
117,0,0.0045,3,2,Kurtosis|StdDev,201643.2347,162.7369,2,0.3314,0.6197,0.2889,0.1102,0.2792,0.6620,0.4549
118,0,0.0045,10,6,Kurtosis|Skewness|CrestFactor|PeakToPeak|StdDev|SpectralCentroid,60666.1988,3762.2520,6,0.4354,0.5889,0.7455,0.8027,0.6527,0.8463,0.6959
119,0,0.0044,3,4,RMS|Kurtosis|CrestFactor|PeakToPeak,152794.7608,780.4119,4,0.9181,0.6417,0.4109,0.7356,0.8289,0.3453,0.4891
120,0,0.0044,5,3,Kurtosis|StdDev|SpectralCentroid,130279.8059,1103.9246,3,0.1898,0.5089,0.4468,0.3331,0.0067,0.7422,0.6108
121,0,0.0044,10,4,Kurtosis|Skewness|StdDev|SpectralCentroid,73478.7897,3173.9702,4,0.4295,0.5866,0.8604,0.2458,0.3416,0.9937,0.7072
122,0,0.0044,10,4,Kurtosis|Skewness|StdDev|SpectralCentroid,73539.1341,3097.2492,4,0.4295,0.5866,0.8546,0.2092,0.2557,0.9937,0.7069
123,0,0.0043,10,3,Kurtosis|StdDev|SpectralCentroid,75574.5924,4804.4571,3,0.4247,0.6639,0.2033,0.2535,0.3494,0.8739,0.7662
124,0,0.0043,8,5,RMS|Kurtosis|Skewness|StdDev|SpectralCentroid,94837.7398,1860.5571,5,0.9247,0.5693,0.7714,0.2196,0.1132,0.8961,0.7674
125,0,0.0042,9,3,Kurtosis|StdDev|SpectralCentroid,89576.8036,3688.7694,3,0.1764,0.8606,0.3163,0.1985,0.4146,0.8633,0.6114
126,0,0.0042,8,2,Kurtosis|StdDev,103881.8740,4319.7976,2,0.3291,0.9194,0.4882,0.1816,0.3200,0.8293,0.4953
127,0,0.0042,4,2,Kurtosis|StdDev,130899.7633,1077.8877,2,0.1961,0.6077,0.2479,0.0254,0.4601,0.5016,0.4749
128,0,0.0042,9,6,Kurtosis|Skewness|CrestFactor|PeakToPeak|StdDev|SpectralCentroid,84710.8557,2310.8548,6,0.1590,0.8512,0.7994,0.8042,0.7341,0.9874,0.7184
129,0,0.0040,10,5,RMS|Kurtosis|Skewness|StdDev|SpectralCentroid,71377.4808,3274.3579,5,0.9308,0.8337,0.6529,0.3436,0.0995,0.9689,0.7586
130,0,0.0040,10,6,Kurtosis|Skewness|CrestFactor|PeakToPeak|StdDev|SpectralCentroid,71422.8823,2988.7187,6,0.0574,0.8337,0.6545,0.6302,0.6269,0.9687,0.6220
131,0,0.0039,4,2,Kurtosis|StdDev,126845.4465,1555.7194,2,0.0738,0.5696,0.3060,0.0405,0.4422,0.8173,0.4384
132,0,0.0039,10,3,Kurtosis|StdDev|SpectralCentroid,70653.7176,5937.7373,3,0.3412,0.6339,0.3644,0.2144,0.2497,0.7453,0.5255
133,0,0.0039,3,3,Kurtosis|CrestFactor|StdDev,189677.9281,255.8159,3,0.3102,0.5672,0.3978,0.8269,0.1298,0.8959,0.0030
134,0,0.0039,10,3,Kurtosis|StdDev|SpectralCentroid,76844.2990,4546.6056,3,0.3407,0.6343,0.2426,0.2606,0.2470,0.8221,0.5231
135,0,0.0039,4,4,Kurtosis|CrestFactor|StdDev|SpectralCentroid,164069.0763,439.4655,4,0.0304,0.5625,0.3301,0.5640,0.4722,0.7880,0.6452
136,0,0.0039,10,3,Kurtosis|StdDev|SpectralCentroid,70147.0049,6164.4298,3,0.3412,0.5580,0.2785,0.1660,0.2497,0.8806,0.6620
137,0,0.0039,3,3,Kurtosis|StdDev|SpectralCentroid,185142.5056,306.6028,3,0.0283,0.5255,0.2171,0.3167,0.0758,0.7369,0.9016
138,0,0.0038,9,3,Kurtosis|StdDev|SpectralCentroid,112290.7712,3215.0817,3,0.1346,0.6011,0.3314,0.2795,0.4113,0.9940,0.6215
139,0,0.0038,2,2,StdDev|SpectralCentroid,218741.3859,8.5663,2,0.2114,0.0003,0.3833,0.1015,0.2460,0.8623,0.6874
140,0,0.0038,4,3,Kurtosis|CrestFactor|StdDev,145625.2112,962.4167,3,0.0452,0.6130,0.3764,0.8050,0.3763,0.7749,0.0959
141,0,0.0037,10,3,Kurtosis|StdDev|SpectralCentroid,70094.5118,6258.3563,3,0.4288,0.5984,0.3212,0.3218,0.3201,0.7960,0.6120
142,0,0.0036,5,3,Kurtosis|StdDev|SpectralCentroid,125000.4200,1228.0429,3,0.2245,0.5089,0.4848,0.3128,0.3611,0.7745,0.6127
143,0,0.0036,10,7,RMS|Kurtosis|Skewness|CrestFactor|PeakToPeak|StdDev|SpectralCentroid,60022.3777,3827.2833,7,0.8008,0.5910,0.7455,0.8027,0.6954,0.8893,0.6933
144,0,0.0035,10,3,Kurtosis|StdDev|SpectralCentroid,70550.9527,5970.4921,3,0.4892,0.6635,0.3644,0.2146,0.3275,0.6564,0.6040
145,0,0.0035,10,4,Kurtosis|Skewness|StdDev|SpectralCentroid,60534.6363,4786.1262,4,0.3505,0.5800,0.5222,0.1055,0.1880,0.9140,0.5849
146,0,0.0034,5,6,RMS|Kurtosis|CrestFactor|PeakToPeak|StdDev|SpectralCentroid,136199.8367,973.5258,6,0.7674,0.5595,0.3150,0.6529,0.7456,0.8998,0.5041
147,0,0.0033,4,3,Kurtosis|CrestFactor|StdDev,145185.9174,972.8175,3,0.0452,0.6130,0.3764,0.8050,0.3763,0.7749,0.0959
148,0,0.0032,5,7,RMS|Kurtosis|Skewness|CrestFactor|PeakToPeak|StdDev|SpectralCentroid,135945.1636,959.6611,7,0.7674,0.5595,0.6850,0.6529,0.7456,0.8998,0.5041
149,0,0.0031,8,3,Kurtosis|StdDev|SpectralCentroid,87944.3714,3831.4103,3,0.1633,0.8290,0.3249,0.1285,0.2209,0.8973,0.7150
